name,activation
Ses01F_impro01_F000,2.5
Ses01F_impro01_F001,2.5
Ses01F_impro01_F002,2.5
Ses01F_impro01_F003,3.0
Ses01F_impro01_F004,3.0
Ses01F_impro01_F005,3.5
Ses01F_impro01_F006,3.5
Ses01F_impro01_F007,3.5
Ses01F_impro01_F008,3.5
Ses01F_impro01_F009,3.5
Ses01F_impro01_F010,3.5
Ses01F_impro01_F011,3.5
Ses01F_impro01_F012,3.5
Ses01F_impro01_F013,4.0
Ses01F_impro01_F014,3.5
Ses01F_impro01_F015,3.5
Ses01F_impro01_M000,2.0
Ses01F_impro01_M001,2.0
Ses01F_impro01_M002,3.5
Ses01F_impro01_M003,3.5
Ses01F_impro01_M004,4.0
Ses01F_impro01_M005,3.5
Ses01F_impro01_M006,3.5
Ses01F_impro01_M007,3.5
Ses01F_impro01_M008,3.5
Ses01F_impro01_M009,3.5
Ses01F_impro01_M010,4.5
Ses01F_impro01_M011,4.0
Ses01F_impro01_M012,1.5
Ses01F_impro01_M013,4.5
Ses01F_impro02_F000,2.0
Ses01F_impro02_F001,1.5
Ses01F_impro02_F002,1.5
Ses01F_impro02_F003,2.0
Ses01F_impro02_F004,2.0
Ses01F_impro02_F005,2.0
Ses01F_impro02_F006,2.5
Ses01F_impro02_F007,3.5
Ses01F_impro02_F008,2.0
Ses01F_impro02_F009,1.5
Ses01F_impro02_F010,1.5
Ses01F_impro02_F011,2.5
Ses01F_impro02_F012,2.0
Ses01F_impro02_F013,2.0
Ses01F_impro02_F014,2.0
Ses01F_impro02_F015,2.5
Ses01F_impro02_F016,1.0
Ses01F_impro02_F017,3.0
Ses01F_impro02_F018,2.5
Ses01F_impro02_F019,1.5
Ses01F_impro02_F020,2.0
Ses01F_impro02_M000,2.5
Ses01F_impro02_M001,2.5
Ses01F_impro02_M002,3.0
Ses01F_impro02_M003,3.0
Ses01F_impro02_M004,3.0
Ses01F_impro02_M005,3.0
Ses01F_impro02_M006,3.0
Ses01F_impro02_M007,3.0
Ses01F_impro02_M008,1.5
Ses01F_impro02_M009,1.5
Ses01F_impro02_M010,2.0
Ses01F_impro02_M011,1.5
Ses01F_impro02_M012,2.0
Ses01F_impro02_M013,2.0
Ses01F_impro02_M014,3.0
Ses01F_impro02_M015,3.0
Ses01F_impro02_M016,1.5
Ses01F_impro03_F000,2.6667
Ses01F_impro03_F001,2.6667
Ses01F_impro03_F002,3.0
Ses01F_impro03_F003,4.0
Ses01F_impro03_F004,3.6667
Ses01F_impro03_F005,4.0
Ses01F_impro03_F006,3.3333
Ses01F_impro03_F007,3.3333
Ses01F_impro03_F008,3.3333
Ses01F_impro03_F009,2.6667
Ses01F_impro03_F010,3.3333
Ses01F_impro03_F011,3.0
Ses01F_impro03_F012,3.6667
Ses01F_impro03_F013,4.0
Ses01F_impro03_F014,3.3333
Ses01F_impro03_F015,3.6667
Ses01F_impro03_F016,3.0
Ses01F_impro03_F017,2.6667
Ses01F_impro03_F018,3.0
Ses01F_impro03_F019,2.3333
Ses01F_impro03_F020,3.0
Ses01F_impro03_F021,3.6667
Ses01F_impro03_F022,2.6667
Ses01F_impro03_F023,2.3333
Ses01F_impro03_F024,3.0
Ses01F_impro03_F025,3.3333
Ses01F_impro03_F026,4.0
Ses01F_impro03_M000,3.0
Ses01F_impro03_M001,2.6667
Ses01F_impro03_M002,3.3333
Ses01F_impro03_M003,4.6667
Ses01F_impro03_M004,4.0
Ses01F_impro03_M005,3.3333
Ses01F_impro03_M006,2.6667
Ses01F_impro03_M007,3.0
Ses01F_impro03_M008,2.6667
Ses01F_impro03_M009,2.3333
Ses01F_impro03_M010,3.3333
Ses01F_impro03_M011,3.6667
Ses01F_impro03_M012,3.6667
Ses01F_impro03_M013,4.0
Ses01F_impro03_M014,3.6667
Ses01F_impro03_M015,3.0
Ses01F_impro03_M016,2.6667
Ses01F_impro03_M017,3.6667
Ses01F_impro03_M018,2.6667
Ses01F_impro03_M019,3.0
Ses01F_impro03_M020,3.0
Ses01F_impro03_M021,3.3333
Ses01F_impro03_M022,3.3333
Ses01F_impro03_M023,4.3333
Ses01F_impro03_M024,2.6667
Ses01F_impro04_F000,3.0
Ses01F_impro04_F001,2.5
Ses01F_impro04_F002,3.5
Ses01F_impro04_F003,3.0
Ses01F_impro04_F004,2.5
Ses01F_impro04_F005,2.0
Ses01F_impro04_F006,3.5
Ses01F_impro04_F007,3.5
Ses01F_impro04_F008,3.5
Ses01F_impro04_F009,2.5
Ses01F_impro04_F010,3.5
Ses01F_impro04_F011,3.0
Ses01F_impro04_F012,2.5
Ses01F_impro04_F013,3.5
Ses01F_impro04_F014,3.0
Ses01F_impro04_F015,4.0
Ses01F_impro04_F016,4.0
Ses01F_impro04_F017,4.5
Ses01F_impro04_F018,4.5
Ses01F_impro04_F019,3.5
Ses01F_impro04_F020,3.0
Ses01F_impro04_F021,2.0
Ses01F_impro04_F022,2.0
Ses01F_impro04_F023,2.5
Ses01F_impro04_F024,2.5
Ses01F_impro04_F025,2.5
Ses01F_impro04_F026,2.0
Ses01F_impro04_F027,2.0
Ses01F_impro04_F028,3.5
Ses01F_impro04_F029,4.0
Ses01F_impro04_F030,3.5
Ses01F_impro04_F031,3.0
Ses01F_impro04_F032,3.5
Ses01F_impro04_F033,3.5
Ses01F_impro04_M000,2.5
Ses01F_impro04_M001,2.5
Ses01F_impro04_M002,2.5
Ses01F_impro04_M003,2.5
Ses01F_impro04_M004,3.0
Ses01F_impro04_M005,3.0
Ses01F_impro04_M006,3.5
Ses01F_impro04_M007,3.0
Ses01F_impro04_M008,3.0
Ses01F_impro04_M009,3.0
Ses01F_impro04_M010,2.5
Ses01F_impro04_M011,3.0
Ses01F_impro04_M012,3.0
Ses01F_impro04_M013,2.0
Ses01F_impro04_M014,3.5
Ses01F_impro04_M015,3.5
Ses01F_impro04_M016,2.5
Ses01F_impro04_M017,3.5
Ses01F_impro04_M018,3.5
Ses01F_impro04_M019,2.5
Ses01F_impro04_M020,2.5
Ses01F_impro04_M021,3.5
Ses01F_impro04_M022,2.5
Ses01F_impro04_M023,2.5
Ses01F_impro04_M024,2.5
Ses01F_impro04_M025,3.5
Ses01F_impro04_M026,3.0
Ses01F_impro04_M027,3.5
Ses01F_impro04_M028,2.5
Ses01F_impro04_M029,3.5
Ses01F_impro04_M030,2.5
Ses01F_impro04_M031,2.5
Ses01F_impro04_M032,2.0
Ses01F_impro04_M033,3.5
Ses01F_impro04_M034,2.0
Ses01F_impro04_M035,3.5
Ses01F_impro04_M036,3.0
Ses01F_impro05_F000,2.0
Ses01F_impro05_F001,2.5
Ses01F_impro05_F002,2.5
Ses01F_impro05_F003,3.0
Ses01F_impro05_F004,3.5
Ses01F_impro05_F005,3.0
Ses01F_impro05_F006,2.5
