name,speaker
Ses01F_impro01_F000,01F
Ses01F_impro01_F001,01F
Ses01F_impro01_F002,01F
Ses01F_impro01_F003,01F
Ses01F_impro01_F004,01F
Ses01F_impro01_F005,01F
Ses01F_impro01_F006,01F
Ses01F_impro01_F007,01F
Ses01F_impro01_F008,01F
Ses01F_impro01_F009,01F
Ses01F_impro01_F010,01F
Ses01F_impro01_F011,01F
Ses01F_impro01_F012,01F
Ses01F_impro01_F013,01F
Ses01F_impro01_F014,01F
Ses01F_impro01_F015,01F
Ses01F_impro01_M000,01F
Ses01F_impro01_M001,01F
Ses01F_impro01_M002,01F
Ses01F_impro01_M003,01F
Ses01F_impro01_M004,01F
Ses01F_impro01_M005,01F
Ses01F_impro01_M006,01F
Ses01F_impro01_M007,01F
Ses01F_impro01_M008,01F
Ses01F_impro01_M009,01F
Ses01F_impro01_M010,01F
Ses01F_impro01_M011,01F
Ses01F_impro01_M012,01F
Ses01F_impro01_M013,01F
Ses01F_impro02_F000,01F
Ses01F_impro02_F001,01F
Ses01F_impro02_F002,01F
Ses01F_impro02_F003,01F
Ses01F_impro02_F004,01F
Ses01F_impro02_F005,01F
Ses01F_impro02_F006,01F
Ses01F_impro02_F007,01F
Ses01F_impro02_F008,01F
Ses01F_impro02_F009,01F
Ses01F_impro02_F010,01F
Ses01F_impro02_F011,01F
Ses01F_impro02_F012,01F
Ses01F_impro02_F013,01F
Ses01F_impro02_F014,01F
Ses01F_impro02_F015,01F
Ses01F_impro02_F016,01F
Ses01F_impro02_F017,01F
Ses01F_impro02_F018,01F
Ses01F_impro02_F019,01F
Ses01F_impro02_F020,01F
Ses01F_impro02_M000,01F
Ses01F_impro02_M001,01F
Ses01F_impro02_M002,01F
Ses01F_impro02_M003,01F
Ses01F_impro02_M004,01F
Ses01F_impro02_M005,01F
Ses01F_impro02_M006,01F
Ses01F_impro02_M007,01F
Ses01F_impro02_M008,01F
Ses01F_impro02_M009,01F
Ses01F_impro02_M010,01F
Ses01F_impro02_M011,01F
Ses01F_impro02_M012,01F
Ses01F_impro02_M013,01F
Ses01F_impro02_M014,01F
Ses01F_impro02_M015,01F
Ses01F_impro02_M016,01F
Ses01F_impro03_F000,01F
Ses01F_impro03_F001,01F
Ses01F_impro03_F002,01F
Ses01F_impro03_F003,01F
Ses01F_impro03_F004,01F
Ses01F_impro03_F005,01F
Ses01F_impro03_F006,01F
Ses01F_impro03_F007,01F
Ses01F_impro03_F008,01F
Ses01F_impro03_F009,01F
Ses01F_impro03_F010,01F
Ses01F_impro03_F011,01F
Ses01F_impro03_F012,01F
Ses01F_impro03_F013,01F
Ses01F_impro03_F014,01F
Ses01F_impro03_F015,01F
Ses01F_impro03_F016,01F
Ses01F_impro03_F017,01F
Ses01F_impro03_F018,01F
Ses01F_impro03_F019,01F
Ses01F_impro03_F020,01F
Ses01F_impro03_F021,01F
Ses01F_impro03_F022,01F
Ses01F_impro03_F023,01F
Ses01F_impro03_F024,01F
Ses01F_impro03_F025,01F
Ses01F_impro03_F026,01F
Ses01F_impro03_M000,01F
Ses01F_impro03_M001,01F
Ses01F_impro03_M002,01F
Ses01F_impro03_M003,01F
Ses01F_impro03_M004,01F
Ses01F_impro03_M005,01F
Ses01F_impro03_M006,01F
Ses01F_impro03_M007,01F
Ses01F_impro03_M008,01F
Ses01F_impro03_M009,01F
Ses01F_impro03_M010,01F
Ses01F_impro03_M011,01F
Ses01F_impro03_M012,01F
Ses01F_impro03_M013,01F
Ses01F_impro03_M014,01F
Ses01F_impro03_M015,01F
Ses01F_impro03_M016,01F
Ses01F_impro03_M017,01F
Ses01F_impro03_M018,01F
Ses01F_impro03_M019,01F
Ses01F_impro03_M020,01F
Ses01F_impro03_M021,01F
Ses01F_impro03_M022,01F
Ses01F_impro03_M023,01F
Ses01F_impro03_M024,01F
Ses01F_impro04_F000,01F
Ses01F_impro04_F001,01F
Ses01F_impro04_F002,01F
Ses01F_impro04_F003,01F
Ses01F_impro04_F004,01F
Ses01F_impro04_F005,01F
Ses01F_impro04_F006,01F
Ses01F_impro04_F007,01F
Ses01F_impro04_F008,01F
Ses01F_impro04_F009,01F
Ses01F_impro04_F010,01F
Ses01F_impro04_F011,01F
Ses01F_impro04_F012,01F
Ses01F_impro04_F013,01F
Ses01F_impro04_F014,01F
Ses01F_impro04_F015,01F
Ses01F_impro04_F016,01F
Ses01F_impro04_F017,01F
Ses01F_impro04_F018,01F
Ses01F_impro04_F019,01F
Ses01F_impro04_F020,01F
Ses01F_impro04_F021,01F
Ses01F_impro04_F022,01F
Ses01F_impro04_F023,01F
Ses01F_impro04_F024,01F
Ses01F_impro04_F025,01F
Ses01F_impro04_F026,01F
Ses01F_impro04_F027,01F
Ses01F_impro04_F028,01F
Ses01F_impro04_F029,01F
Ses01F_impro04_F030,01F
Ses01F_impro04_F031,01F
Ses01F_impro04_F032,01F
Ses01F_impro04_F033,01F
Ses01F_impro04_M000,01F
Ses01F_impro04_M001,01F
Ses01F_impro04_M002,01F
Ses01F_impro04_M003,01F
Ses01F_impro04_M004,01F
Ses01F_impro04_M005,01F
Ses01F_impro04_M006,01F
Ses01F_impro04_M007,01F
Ses01F_impro04_M008,01F
Ses01F_impro04_M009,01F
Ses01F_impro04_M010,01F
Ses01F_impro04_M011,01F
Ses01F_impro04_M012,01F
Ses01F_impro04_M013,01F
Ses01F_impro04_M014,01F
Ses01F_impro04_M015,01F
Ses01F_impro04_M016,01F
Ses01F_impro04_M017,01F
Ses01F_impro04_M018,01F
Ses01F_impro04_M019,01F
Ses01F_impro04_M020,01F
Ses01F_impro04_M021,01F
Ses01F_impro04_M022,01F
Ses01F_impro04_M023,01F
Ses01F_impro04_M024,01F
Ses01F_impro04_M025,01F
Ses01F_impro04_M026,01F
Ses01F_impro04_M027,01F
Ses01F_impro04_M028,01F
Ses01F_impro04_M029,01F
Ses01F_impro04_M030,01F
Ses01F_impro04_M031,01F
Ses01F_impro04_M032,01F
Ses01F_impro04_M033,01F
Ses01F_impro04_M034,01F
Ses01F_impro04_M035,01F
Ses01F_impro04_M036,01F
Ses01F_impro05_F000,01F
Ses01F_impro05_F001,01F
Ses01F_impro05_F002,01F
Ses01F_impro05_F003,01F
Ses01F_impro05_F004,01F
Ses01F_impro05_F005,01F
Ses01F_impro05_F006,01F
Ses01F_impro05_F007,01F
Ses01F_impro05_F008,01F
Ses01F_impro05_F009,01F
